n                   , Insertion-32768     , Insertion-1024      
16                  ,88                  ,89                  
32                  ,309                 ,312                 
64                  ,1142                ,1153                
128                 ,4187                ,4409                
256                 ,17108               ,17057               
512                 ,65743               ,65945               
1024                ,265219              ,262542              
2048                ,1055715             ,1049689             
4096                ,4181010             ,4190731             
8192                ,16754967            ,16704253            
16384               ,67223642            ,67006965            
32768               ,268240980           ,268223625           
65536               ,1074753240          ,1071839491          
