n                   ,Exam01_Sort-32768,Exam01_Sort-1024,,,,,,,cn^2
16,329,324,,,,,,,128000
32,1187,1190,,,,,,,512000
64,4465,4457,,,,,,,2048000
128,17222,17191,,,,,,,8192000
256,67406,67335,,,,,,,32768000
512,266146,266013,,,,,,,131072000
1024,1057351,1057057,,,,,,,524288000
2048,4213092,4212399,,,,,,,2097152000
4096,16817749,16813587,,,,,,,8388608000
8192,67195930,67186280,,,,,,,33554432000
16384,268620210,268590842,,,,,,,1.34218E+11
32768,1074132312,1074051733,,,,,,,5.36871E+11
65536,784409,615473,,,,,,,2.14748E+12
